player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
D'Marco Jackson,57691,LB,CHI,11,8,0,63.6,0,0,6,0,0,90.7,83.8,82.6,52.8,60.3,69.3,0,1,0,1,7,8.6,3,1,0,29.7,7,1,0,219,2,128,260,17,0,0,17,0,4,243,21,111,18,11,24,1,11,2,0,23,12,3.3
K.J. Britt,57727,LB,MIA,11,9,0,87.5,0,0,17,0,0,44.6,58.7,78.3,48.5,79.2,74.8,1,0,0,0,9,8.0,2,0,0,132.8,7,0,0,141,1,82,149,2,0,0,2,0,0,147,6,61,4,8,14,0,8,1,1,51,30,7.3
Jalen Pitre,57737,S,HST,14,16,1,75.0,0,0,13,0,0,86.9,85.6,84.0,66.8,72.8,60.2,0,10,0,4,33,14.0,12,6,2,68.1,45,0,0,185,6,447,751,27,0,0,27,0,47,724,40,264,486,22,58,3,60,10,0,450,232,10.0
Terrel Bernard,57739,LB,BUF,12,13,0,73.2,0,0,4,2,0,46.7,48.8,56.1,52.4,57.1,34.3,2,7,0,1,29,17.9,14,2,1,99.4,30,0,0,550,2,310,623,32,0,0,32,0,6,591,49,264,32,25,51,6,41,9,1,378,158,12.6
Isaiah McDuffie,57754,LB,GB,17,28,0,78.6,0,0,12,0,0,63.0,69.4,85.2,71.4,69.1,75.8,2,4,0,1,26,5.4,5,0,1,89.3,22,2,0,240,1,208,505,196,0,0,196,0,2,309,23,274,66,28,59,3,28,8,1,172,100,7.8
Baylon Spector,57782,LB,BUF,1,1,0,,0,0,4,0,0,60.0,75.1,67.6,,65.7,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,
Nate Landman,57788,LB,LA,17,34,1,80.6,0,4,26,2,0,64.4,71.3,86.6,62.3,75.5,64.4,3,6,0,1,35,11.8,17,3,0,111.1,50,2,0,771,3,544,1017,130,0,0,130,0,4,887,71,402,109,50,93,6,62,11,3,521,336,10.4
Ventrell Miller,57809,LB,JAX,12,12,0,35.7,0,1,15,0,0,58.4,72.6,20.3,73.7,82.8,67.1,0,3,0,1,9,7.1,2,1,2,14.6,5,1,0,173,1,110,220,32,0,0,32,0,0,188,28,82,14,10,14,0,14,4,0,22,25,4.4
James Houston,57810,ED,DAL,17,4,0,0.0,0,1,9,1,0,66.5,69.1,22.8,69.5,67.4,63.2,10,9,0,0,,13.6,3,0,3,39.6,0,6,0,2,0,16,305,302,0,0,298,4,0,3,182,107,1,12,15,1,1,25,0,0,0,
Mykal Walker,57834,LB,NYJ,12,10,0,66.7,0,0,22,0,0,68.7,75.6,79.0,50.9,76.1,85.6,0,0,0,0,17,0.0,0,1,0,78.5,4,0,0,147,0,61,195,30,0,0,30,0,0,165,9,125,17,7,12,3,6,0,0,30,31,7.5
Robert Beal Jr.,57840,ED,SF,7,3,0,,0,0,28,0,0,61.5,53.3,83.9,51.8,54.7,59.3,0,5,0,0,,11.1,1,0,0,0.0,0,0,0,0,0,2,104,104,0,0,95,9,0,0,50,52,0,3,5,0,0,5,0,0,0,
Del'Shawn Phillips,57868,LB,LAC,7,5,0,100.0,0,0,27,0,0,36.6,50.8,0.0,66.3,67.6,48.6,1,1,0,0,37,17.6,3,0,1,118.8,3,1,0,72,1,26,82,6,0,0,6,0,0,76,9,47,3,7,9,0,3,3,0,66,60,22.0
