player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Drake Jackson,70839,ED,WAS,3,0,0,,0,0,32,0,0,,46.0,8.5,67.7,39.9,73.5,0,4,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,61,61,0,2,57,2,0,0,30,31,0,1,3,0,0,4,0,0,0,
Easton Mascarenas-Arnold,71410,LB,CLV,4,0,0,,0,0,8,0,0,,74.7,68.3,,69.2,73.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,0,12,2,0,0,2,0,0,10,0,12,0,1,1,0,0,0,0,0,0,
Trent McDuffie,72191,CB,KC,13,11,0,67.3,0,1,16,0,0,74.7,75.6,87.8,50.3,78.5,83.1,0,3,0,1,46,5.9,4,4,5,94.7,37,1,0,37,479,404,688,38,0,0,38,0,0,650,27,257,134,20,53,1,55,4,3,342,130,9.2
Evan Williams,73864,S,GB,16,26,0,73.7,1,0,12,1,0,62.0,69.0,66.0,63.7,82.4,65.3,0,2,0,3,43,12.5,13,1,5,80.9,28,0,0,280,2,548,903,28,0,0,28,0,467,875,10,345,126,23,65,3,38,2,2,299,69,10.7
Jowon Briggs,74867,DI,NYJ,17,10,0,,0,1,22,0,0,64.2,73.5,61.9,85.6,55.4,56.4,6,28,0,0,,7.3,3,0,2,0.0,0,4,0,0,0,0,588,588,19,442,3,124,0,0,320,268,0,25,28,4,0,38,0,0,0,
Jonah Laulu,75763,DI,LV,17,23,2,50.0,0,0,23,0,0,63.4,40.9,78.4,52.7,34.4,31.5,3,19,0,0,7,15.9,10,1,1,58.3,1,3,0,0,0,7,764,764,7,456,66,235,0,0,397,360,0,22,30,4,2,25,0,7,4,7.0
Chad Muma,75818,LB,NE,6,2,0,100.0,0,0,19,0,0,60.7,67.4,75.8,54.7,70.8,79.5,0,0,0,0,11,0.0,0,0,0,112.5,1,0,0,47,0,26,56,6,0,0,6,0,0,50,3,27,3,2,3,0,1,0,0,11,5,11.0
Asante Samuel Jr.,76625,CB,PIT,6,0,0,77.8,0,0,25,0,0,65.0,67.2,82.6,,72.9,55.6,0,0,0,1,27,16.7,2,0,0,103.7,7,0,0,12,207,146,222,1,0,0,1,0,0,221,0,76,2,2,10,0,9,0,2,80,39,11.4
Erick Hallett,76631,S,TEN,3,5,0,80.0,0,0,31,0,0,54.4,53.2,79.5,36.8,65.2,56.9,0,2,0,0,30,16.0,4,1,1,114.6,8,0,0,37,7,97,146,8,0,0,8,0,50,138,9,40,44,5,16,0,10,2,0,115,77,14.4
Elijah Jones,76632,CB,ARZ,1,1,0,33.3,0,0,1,0,0,83.0,82.4,73.5,,67.0,76.7,0,0,0,0,21,0.0,0,2,0,59.0,1,0,0,11,26,20,37,0,0,0,0,0,0,37,0,17,0,0,2,0,3,0,0,21,0,21.0
Andre Cisco,76641,S,NYJ,8,6,0,82.4,0,0,22,1,0,54.5,61.3,87.3,50.0,75.7,43.6,0,0,0,0,28,18.4,9,1,0,152.6,14,0,0,136,9,265,499,22,0,0,22,0,293,477,11,223,39,10,34,1,17,0,3,189,106,13.5
Juanyeh Thomas,76655,S,DAL,6,3,0,100.0,0,0,9,0,0,56.0,60.0,83.4,58.8,69.0,56.5,0,0,0,0,16,17.4,4,0,0,143.8,3,0,0,52,2,156,264,5,0,0,5,0,187,259,1,107,18,2,16,0,3,0,1,27,20,9.0
Chamarri Conner,76662,S,KC,17,28,0,82.4,1,2,16,0,0,46.6,53.4,86.9,66.0,64.2,39.9,3,7,0,1,51,16.7,21,2,3,114.6,56,2,0,405,3,563,1021,47,0,0,47,0,175,974,46,412,391,26,77,2,68,12,3,643,343,11.5
Tanner Ingle,76667,S,LA,2,0,0,,0,0,26,0,0,60.7,69.3,99.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,4,0,0,0,0,0,2,4,0,3,1,0,0,0,0,0,0,0,0,
DJ Ivey,76670,CB,CIN,12,1,0,62.5,0,0,7,0,0,71.6,69.3,80.7,58.4,46.1,64.0,0,0,0,0,20,9.1,1,3,0,83.6,10,0,0,12,60,89,115,4,0,0,4,0,11,111,1,25,28,3,9,0,16,0,0,113,55,11.3
DeMarvion Overshown,76729,LB,DAL,6,7,0,94.4,0,0,9,0,0,64.5,67.4,78.5,77.7,63.4,53.9,0,2,0,0,29,14.7,5,0,0,121.3,17,0,0,185,2,140,218,8,0,0,8,0,1,210,8,70,22,12,22,1,18,2,1,156,112,9.2
Zaire Barnes,76766,LB,NYG,3,1,0,75.0,0,0,21,0,0,49.6,48.9,75.8,72.5,49.4,31.1,0,1,0,0,20,22.2,4,0,0,116.0,9,1,0,81,1,48,93,1,0,0,1,0,0,92,6,39,10,11,13,1,12,2,1,68,66,7.6
Xavier Thomas,76807,ED,ARZ,3,0,0,,0,0,1,0,0,,60.0,73.2,59.7,59.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,0,0,15,0,0,0,2,13,0,0,0,0,0,0,0,0,0,
Tyler Lacy,76836,ED,DET,10,7,0,,0,0,11,0,0,,58.6,60.7,51.4,65.2,78.8,1,4,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,237,237,0,11,139,87,0,0,113,124,0,10,13,0,0,6,0,0,0,
Will McDonald IV,76842,ED,NYJ,15,8,0,100.0,1,0,22,0,0,50.7,59.2,82.5,71.0,41.6,27.9,12,22,0,0,12,29.4,10,0,1,108.3,2,8,0,6,1,18,648,641,3,8,626,4,0,7,385,245,0,19,16,3,2,42,0,20,8,10.0
Desjuan Johnson,76850,ED,LA,6,4,0,,0,0,26,0,0,75.7,71.2,28.0,66.9,67.6,59.3,5,9,0,0,,9.1,1,0,1,0.0,0,2,0,0,0,1,102,101,0,0,101,0,0,1,70,31,0,7,6,0,0,16,0,0,0,
Jalen Redmond,76861,DI,MIN,17,12,5,,0,1,18,2,0,61.4,72.8,80.7,62.6,72.7,45.2,3,26,0,0,,12.9,8,0,1,0.0,0,6,0,3,0,7,793,789,23,285,224,257,0,4,369,417,0,39,42,6,0,35,0,0,0,
Greg Rousseau,76889,ED,BUF,16,7,2,50.0,0,1,4,0,0,57.9,86.4,80.8,77.2,83.0,70.2,15,32,0,0,14,10.0,4,0,1,72.9,1,8,0,1,0,26,631,629,0,3,610,16,0,2,368,237,0,26,29,2,2,55,0,14,0,14.0
Travis Jones,76914,DI,BLT,16,16,1,,0,1,3,1,0,60.2,80.1,88.5,66.0,82.8,50.8,3,38,0,0,,8.5,4,0,0,0.0,0,6,0,1,0,19,743,742,125,575,0,42,0,1,478,246,0,28,27,5,0,47,0,0,0,
Logan Hall,76919,DI,TB,17,11,1,,0,1,30,0,0,63.2,66.8,40.6,65.5,66.0,34.6,4,26,0,0,,20.0,9,0,4,0.0,0,2,0,0,0,5,611,611,5,221,117,268,0,0,361,245,0,17,25,0,0,32,0,0,0,
Moro Ojomo,76927,DI,PHI,17,12,1,,0,0,24,0,0,72.0,72.9,78.1,70.3,64.5,29.0,4,39,0,0,,19.5,8,0,1,0.0,0,6,0,4,0,1,741,736,24,477,40,195,0,5,454,286,0,20,21,0,0,49,0,0,0,
Dante Stills,76937,DI,ARZ,17,9,1,,0,0,1,0,0,60.0,44.9,47.1,55.4,45.3,27.5,2,11,0,0,,22.4,11,0,3,0.0,0,0,0,0,0,0,548,548,9,262,59,218,0,0,289,259,0,18,29,2,0,13,0,0,0,
Karl Brooks,76941,DI,GB,15,9,1,100.0,0,0,12,0,0,59.8,47.4,62.8,58.7,40.6,60.7,4,20,0,0,3,6.5,2,0,2,79.2,1,1,0,5,0,6,618,613,44,330,11,228,0,5,388,224,0,11,20,1,1,25,0,3,8,3.0
Braden Fiske,76958,DI,LA,17,3,0,,1,0,26,0,0,70.1,58.7,60.4,64.8,45.7,28.7,8,31,0,0,,26.7,8,0,2,0.0,0,3,0,1,0,3,542,541,3,287,43,208,0,1,365,174,0,17,19,1,0,42,0,0,0,
Alim McNeill,76996,DI,DET,10,5,1,,1,0,11,0,0,60.2,52.2,46.8,61.4,47.3,28.3,2,21,0,0,,22.2,4,0,3,0.0,0,0,0,1,0,3,523,522,40,271,78,133,0,1,318,202,0,8,9,1,0,23,0,0,0,
Yasir Abdullah,77100,LB,JAX,1,0,0,,0,0,15,0,0,,60.1,68.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Shaka Heyward,77120,LB,CIN,4,2,0,0.0,0,0,7,0,0,69.1,55.1,76.4,55.1,45.0,77.3,1,0,0,0,,0.0,0,0,0,39.6,0,0,0,28,0,16,36,7,0,0,7,0,0,29,4,16,1,1,2,0,1,1,0,0,0,
Payton Wilson,77127,LB,PIT,17,27,1,86.5,0,0,25,1,0,48.5,53.6,85.9,61.5,60.4,64.6,3,11,0,1,33,10.6,13,0,2,104.3,45,2,0,547,17,439,733,58,0,0,58,0,3,675,76,218,107,32,83,4,52,16,2,410,259,9.1
Anthony Goodlow,77164,DI,ARZ,3,1,0,,0,0,1,0,0,60.0,46.5,75.8,54.5,47.2,70.7,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,36,36,0,6,4,26,0,0,19,17,0,2,2,1,0,1,0,0,0,
Zaven Collins,77190,ED,ARZ,17,3,0,71.4,0,0,1,2,1,59.0,71.5,72.9,69.8,71.8,38.8,7,22,0,0,41,18.9,7,0,1,86.0,10,2,0,28,0,111,543,471,0,1,470,0,0,72,235,197,44,21,27,6,14,31,0,82,67,8.2
Nik Bonitto,77196,ED,DEN,17,2,1,83.3,0,1,10,0,0,63.1,77.5,22.6,84.9,61.3,33.1,14,45,0,0,14,28.6,12,0,7,96.5,5,17,0,5,0,68,684,676,0,0,676,0,0,8,416,200,2,34,28,3,6,76,0,43,27,8.6
Joseph Ossai,77205,ED,CIN,14,17,0,100.0,2,2,7,0,0,57.4,64.0,32.0,62.5,70.6,47.1,9,29,0,0,16,15.7,8,0,5,143.8,7,5,0,3,0,34,616,610,0,21,502,87,0,6,375,207,3,21,26,4,7,43,1,63,35,9.0
British Brooks,77714,FB,HST,1,0,0,,0,0,13,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Jarrick Bernard-Converse,77841,CB,NYG,4,0,0,,0,0,21,0,0,66.0,69.9,71.9,,68.4,76.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,16,5,23,0,0,0,0,0,0,23,0,18,0,1,3,0,0,0,0,0,0,
Tre'von Moehrig,77847,S,CAR,16,23,0,79.7,1,0,5,0,0,55.3,64.3,67.4,77.4,73.7,56.6,4,8,0,1,30,15.8,19,2,2,90.3,51,3,0,442,1,512,990,94,0,0,94,0,143,896,52,426,310,41,78,11,64,15,1,383,179,7.5
Ar'Darius Washington,77848,S,BLT,4,2,0,100.0,0,1,3,0,0,45.1,58.7,76.6,91.6,73.6,52.4,2,0,0,0,31,16.7,1,0,0,118.8,6,1,0,11,1,46,61,4,0,0,4,0,6,57,6,9,39,3,3,0,6,3,0,104,61,17.3
Derion Kendrick,78022,CB,LA,7,0,0,50.0,0,0,26,0,0,74.7,72.8,78.5,51.9,62.6,60.0,0,1,0,2,9,12.5,1,3,0,16.7,7,0,0,23,9,95,134,4,0,0,4,0,2,130,6,33,96,2,7,1,14,1,0,36,36,5.1
Alec Pierce,78038,WR,IND,1,0,0,0.0,0,0,14,0,0,60.0,60.0,62.6,,,,0,0,0,0,,,0,1,4,39.6,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,
Ryan Miller,78734,WR,NYG,1,0,0,,0,0,21,0,0,,60.1,,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Shemar Bartholomew,78995,CB,GB,1,0,0,100.0,0,0,12,0,0,61.1,58.7,76.4,,51.6,29.2,0,0,0,0,8,33.3,1,0,0,100.0,1,0,0,1,33,20,34,0,0,0,0,0,0,34,0,14,0,1,2,1,1,0,0,8,9,8.0
Cobie Durant,79126,CB,LA,17,8,0,58.6,1,0,26,1,0,66.9,66.3,88.1,53.5,57.1,57.0,0,1,1,3,38,10.6,5,3,2,85.6,41,0,0,30,744,506,819,11,0,0,11,0,0,808,3,310,34,9,34,1,70,1,5,483,158,11.8
Christian Benford,79181,CB,BUF,14,6,0,59.2,1,0,4,2,1,55.0,67.8,63.5,98.1,89.5,70.1,0,0,1,2,40,8.9,4,1,3,97.2,29,2,0,44,733,462,798,16,0,0,16,0,1,782,10,326,3,15,35,2,49,2,5,339,70,11.7
Nick Hampton,81162,ED,LA,12,2,0,100.0,0,0,26,0,0,51.9,59.9,80.9,55.3,67.2,75.6,0,2,0,0,11,0.0,0,0,0,91.7,4,0,0,0,0,15,112,107,0,0,107,0,0,5,51,46,5,1,3,0,4,2,0,24,17,6.0
Cam Jones,81244,LB,NYJ,4,0,0,,0,0,22,0,0,61.0,66.2,67.0,,61.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,4,0,2,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,
Micah McFadden,81246,LB,NYG,1,1,0,,0,0,21,0,0,65.6,64.1,70.7,,58.2,75.0,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,11,0,6,11,0,0,0,0,0,0,11,0,5,0,0,1,0,0,1,0,0,0,
Damone Clark,81282,LB,HST,7,5,0,72.7,0,0,13,0,0,28.1,30.0,75.6,59.5,58.2,44.6,0,0,0,0,16,17.6,3,0,0,115.7,8,0,0,81,2,53,102,7,0,0,7,0,1,95,6,43,10,1,9,0,11,0,1,60,26,7.5
Durell Nchami,81292,ED,IND,3,1,0,100.0,0,0,14,0,0,76.2,56.0,78.2,52.6,48.9,72.4,0,1,0,0,4,0.0,0,0,0,83.3,1,0,0,0,0,2,33,33,0,0,32,1,0,0,21,10,0,1,1,0,1,1,0,4,1,4.0
Cameron McGrone,81300,LB,CLV,3,0,0,75.0,0,0,8,0,0,27.5,28.2,78.0,52.2,66.8,27.1,0,0,0,0,19,66.7,2,0,0,135.4,3,0,0,28,1,27,42,11,0,0,11,0,0,31,5,10,2,1,1,0,4,0,1,30,37,10.0
Nick Bolton,81322,LB,KC,17,41,1,82.2,1,1,16,0,0,67.6,78.9,87.3,61.9,85.2,60.4,6,18,0,1,33,12.2,21,3,2,101.1,60,1,0,936,1,491,1011,36,0,0,36,0,3,975,111,409,35,61,110,10,73,25,2,543,396,9.1
Dylan Horton,81335,ED,HST,16,3,0,,0,0,13,0,0,60.0,53.0,66.9,49.5,59.2,69.9,2,13,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,245,244,0,0,242,2,0,1,132,113,0,11,14,0,0,16,0,0,0,
Micah Parsons,81360,ED,GB,14,12,0,,0,2,12,0,0,74.8,91.9,30.0,92.9,69.3,79.7,14,51,0,0,,6.1,2,0,6,0.0,0,14,0,42,0,7,707,665,0,14,599,52,0,42,436,264,0,28,19,3,0,79,0,0,0,
Ernest Jones,81399,LB,SEA,15,34,0,73.0,0,0,29,0,0,46.9,58.1,87.3,49.2,75.6,72.1,1,4,1,5,54,7.6,10,1,3,66.6,46,1,0,796,1,529,903,44,0,0,44,0,5,859,60,314,57,44,88,4,63,6,1,475,322,10.3
Alec Anderson,81882,G,BUF,1,0,0,,0,0,4,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Brenton Cox Jr.,81957,ED,GB,4,1,0,,1,1,12,0,0,60.0,53.2,19.9,67.2,44.9,53.2,2,2,0,0,,33.3,2,0,1,0.0,0,1,0,0,0,1,79,79,0,2,73,4,0,0,47,31,0,2,3,0,0,5,0,0,0,
Azeez Ojulari,81959,ED,PHI,3,4,0,,0,0,24,0,0,65.1,62.5,79.9,49.4,69.3,60.4,1,2,0,0,,11.1,1,0,0,0.0,0,0,0,0,0,8,67,65,0,0,65,0,0,2,31,28,2,2,4,1,0,3,0,0,0,
Odafe Oweh,82161,ED,LAC,17,10,0,62.5,0,0,27,0,0,38.6,73.8,76.1,78.1,62.6,51.2,9,30,0,0,13,11.8,4,0,1,77.6,5,8,0,2,1,26,513,510,0,1,501,8,0,3,353,134,0,25,20,2,8,47,0,45,23,9.0
Thomas Booker IV,82168,DI,LV,17,20,5,,1,1,23,1,0,58.7,45.6,30.3,67.8,39.4,50.4,7,22,0,0,,6.4,3,0,5,0.0,0,0,0,0,0,4,603,603,59,495,0,49,0,0,288,311,0,13,24,1,0,29,0,0,0,
Christian Barmore,82198,DI,NE,17,6,0,,0,0,19,0,0,62.9,52.1,89.4,69.6,29.7,33.6,9,39,0,0,,25.7,9,0,0,0.0,0,2,0,0,0,3,667,664,21,393,70,180,0,3,428,236,0,13,20,2,0,50,0,0,0,
Teair Tart,82261,DI,LAC,17,7,4,,0,1,27,1,0,55.6,68.0,19.8,64.9,73.3,56.3,2,13,0,0,,8.1,3,0,5,0.0,0,0,0,1,0,2,499,498,60,363,0,75,0,1,263,234,0,21,27,4,0,15,0,0,0,
Devonte Wyatt,82268,DI,GB,10,8,2,,1,0,12,0,0,61.9,52.9,49.3,71.4,38.7,76.8,2,16,0,0,,4.0,1,0,2,0.0,0,4,0,1,0,2,379,378,32,270,4,72,0,1,222,155,0,16,16,2,0,22,0,0,0,
Aidan Hutchinson,82330,ED,DET,17,9,1,100.0,1,4,11,1,0,72.9,91.7,59.8,92.1,69.7,44.3,20,64,0,1,12,20.8,10,0,6,77.1,1,16,0,6,0,9,1005,998,0,1,991,6,1,7,622,374,0,35,29,1,1,100,0,12,2,12.0
Casey Rogers,82347,DI,NYG,1,0,0,,0,0,21,0,0,,62.2,67.9,,60.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Cameron Thomas,82387,ED,CLV,17,9,0,,0,0,8,0,0,62.4,67.6,51.3,66.7,65.3,80.8,3,6,0,0,,0.0,0,0,2,0.0,0,4,0,0,0,7,310,310,0,4,299,7,0,0,155,148,0,8,10,0,0,13,0,0,0,
Kingsley Enagbare,82409,ED,GB,16,7,0,100.0,0,0,12,0,0,71.0,63.6,74.7,58.6,61.0,54.2,5,16,0,0,20,15.6,7,0,2,118.1,3,3,0,5,0,22,468,463,0,19,396,48,0,5,243,203,0,20,31,5,3,24,0,37,36,12.3
Bobby Brown III,82429,DI,CAR,17,8,1,,0,0,5,0,0,66.9,54.2,47.6,51.1,57.8,53.9,0,4,0,0,,13.3,4,0,2,0.0,0,1,0,1,0,1,351,350,114,185,18,33,0,1,156,194,0,12,18,1,0,5,0,0,0,
Tyree Wilson,82432,ED,LV,17,6,1,,0,1,23,1,0,63.3,57.6,89.1,60.4,48.2,28.6,3,28,0,0,,24.4,10,0,0,0.0,0,4,1,1,0,4,463,462,1,27,358,76,0,1,304,155,0,21,25,4,0,35,0,0,0,
Otito Ogbonnia,82450,DI,LAC,9,2,0,,0,0,27,0,0,,55.3,38.4,59.2,56.8,37.5,0,3,0,0,,11.1,1,0,1,0.0,0,0,0,0,0,0,138,138,11,106,0,21,0,0,72,66,0,6,6,2,0,3,0,0,0,
Taki Taimani,82468,DI,MIN,2,0,0,,0,0,18,0,0,,27.4,0.0,55.6,28.7,23.0,0,0,0,0,,100.0,1,0,1,0.0,0,0,0,0,0,0,35,35,11,24,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,
Scott Matlock,82482,FB,LAC,3,1,0,,1,0,27,0,0,61.1,64.8,74.1,57.4,58.2,67.3,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,18,18,1,14,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,
Tommy Togiai,82501,DI,HST,15,10,3,,0,0,13,1,1,65.5,73.3,86.0,71.5,63.9,60.8,3,20,0,0,,8.1,5,0,0,0.0,0,2,0,1,0,1,459,458,5,340,6,107,0,1,251,207,0,34,47,5,0,25,0,0,0,
PJ Mustipher,82505,DI,ARZ,15,12,1,,0,0,1,0,0,60.0,41.3,38.9,54.9,43.0,70.9,0,3,0,0,,5.9,2,0,2,0.0,0,0,0,0,0,0,300,300,183,117,0,0,0,0,119,181,0,7,20,1,0,3,0,0,0,
Quay Walker,82547,LB,GB,14,28,0,82.2,0,0,12,0,0,45.3,48.7,64.8,62.0,54.5,81.0,5,4,0,0,41,7.8,10,4,1,120.8,60,3,0,798,0,464,900,37,0,0,37,0,6,863,77,359,59,44,90,6,73,12,5,548,294,9.1
Channing Tindall,82548,LB,ARZ,2,0,0,,0,0,1,0,0,60.5,75.7,68.9,59.4,65.0,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,2,4,0,0,0,0,0,0,4,1,1,0,1,1,0,0,0,0,0,0,
Jack Sanborn,82566,LB,DAL,5,8,0,91.7,0,0,9,0,0,58.6,56.0,79.7,55.0,54.3,39.8,0,1,0,0,25,18.9,7,1,0,107.3,11,0,0,220,0,121,229,0,0,0,0,0,0,229,2,106,9,8,22,1,12,1,0,117,56,10.6
Mekhi Blackmon,83036,CB,IND,17,6,0,63.6,2,0,14,0,0,46.1,51.2,86.8,61.7,72.4,55.8,0,0,0,2,88,13.3,10,2,8,93.2,42,1,0,79,629,518,784,7,0,0,7,0,0,777,1,265,69,18,59,2,66,1,3,563,226,13.4
Kendall Williamson,83090,S,LAC,4,0,0,,0,0,27,0,0,62.8,73.4,71.1,57.2,77.0,79.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,9,0,12,27,0,0,0,0,0,16,27,2,13,2,1,3,0,0,1,0,0,0,
Ethan Bonner,83091,CB,MIA,9,3,0,50.0,0,0,17,0,0,50.7,50.4,80.5,,51.5,28.2,0,0,0,1,35,36.4,4,1,0,86.5,4,0,0,13,77,54,91,0,0,0,0,0,0,91,0,37,0,1,4,1,8,0,1,82,14,20.5
Pat Surtain II,83119,CB,DEN,14,4,0,52.5,1,0,10,0,0,71.6,72.0,87.9,71.4,64.1,49.6,0,1,0,1,37,16.3,8,9,10,66.5,31,0,0,59,734,566,864,0,0,0,0,0,0,864,2,296,71,8,37,1,59,1,1,312,92,10.1
Jalyn Armour-Davis,83120,CB,TEN,11,7,0,77.4,3,0,31,0,0,49.6,54.2,85.6,60.0,71.1,52.5,0,0,0,0,43,15.0,6,1,5,134.6,24,0,0,41,461,299,508,3,0,0,3,0,0,505,1,208,3,9,27,1,31,0,2,346,115,14.4
Josh Jobe,83122,CB,SEA,16,6,0,51.8,2,0,29,0,0,52.3,56.6,62.0,85.7,74.2,65.2,1,0,0,1,57,9.7,6,9,10,75.2,43,1,0,86,713,564,817,1,0,0,1,0,0,816,4,249,17,14,50,0,83,2,3,457,141,10.6
Jamien Sherwood,83175,LB,NYJ,17,39,2,79.7,0,0,22,0,0,46.1,66.2,87.5,70.5,82.0,85.9,3,8,0,0,42,5.7,9,3,2,125.1,51,2,0,995,8,547,1110,33,0,0,33,0,0,1077,65,498,74,49,110,7,64,13,4,578,390,11.3
Roger McCreary,83176,CB,LA,11,7,0,83.9,0,0,26,0,0,69.7,69.2,81.6,58.6,63.7,58.0,0,4,0,1,33,14.6,6,1,1,110.2,26,1,0,47,3,224,345,4,0,0,4,0,0,341,15,106,290,11,28,0,31,5,2,264,160,10.2
Tyson Campbell,83217,CB,CLV,17,18,0,51.1,0,3,8,0,0,66.5,69.8,89.0,59.9,77.5,67.1,1,1,1,1,50,9.8,9,8,2,92.4,45,0,0,70,856,599,966,0,0,0,0,0,0,966,2,365,40,20,65,2,88,2,6,627,147,13.9
Chris Smith II,83220,S,NYJ,2,1,0,100.0,0,0,22,0,0,62.4,63.3,65.4,,60.0,77.3,0,0,0,0,10,0.0,0,0,0,108.3,1,0,0,0,0,2,3,0,0,0,0,0,3,3,0,1,0,0,0,0,1,0,0,10,6,10.0
Quan Martin,83236,S,WAS,17,25,0,73.0,3,1,32,0,0,39.2,48.4,34.1,88.2,70.0,60.1,2,2,0,0,86,14.4,15,3,4,154.6,27,0,0,245,7,559,927,8,0,0,8,0,561,919,6,362,106,11,64,0,37,4,5,565,270,20.9
Kerby Joseph,83239,S,DET,6,4,0,55.6,0,0,11,0,0,57.7,59.5,22.6,60.0,66.9,31.7,0,0,0,3,30,26.1,6,1,1,74.5,5,0,0,90,0,211,316,0,0,0,0,0,206,316,0,105,20,3,13,0,9,0,1,62,26,12.4
Sydney Brown,83241,S,PHI,12,4,0,66.7,0,0,24,0,0,58.1,60.0,83.3,57.7,62.8,67.6,0,0,0,0,19,12.5,3,0,0,81.7,6,0,0,71,0,122,249,2,0,0,2,0,164,247,2,125,12,5,17,0,9,0,0,52,30,8.7
JuJu Brents,83256,CB,MIA,4,1,0,57.1,0,0,17,1,0,78.6,74.5,78.8,,55.6,52.2,0,0,0,0,13,15.4,2,1,0,67.0,4,0,0,17,87,66,110,1,0,0,1,0,0,109,0,44,5,2,10,0,7,0,0,29,6,7.3
Kaevon Merriweather,83257,S,HST,8,0,0,100.0,0,0,13,0,0,46.4,45.3,76.8,59.2,56.7,83.9,0,0,0,0,23,0.0,0,0,0,118.8,1,0,0,5,2,9,27,10,0,0,10,0,8,17,1,17,0,1,2,1,1,0,0,23,11,23.0
Riley Moss,83259,CB,DEN,17,9,0,57.0,2,0,10,0,0,63.4,65.9,68.9,87.9,70.9,64.4,0,0,0,1,52,12.1,11,15,12,92.5,65,1,0,105,935,727,1089,2,0,0,2,0,1,1087,3,359,46,26,71,2,114,1,6,795,151,12.2
Percy Butler,83271,S,WAS,11,1,0,100.0,0,0,32,0,0,67.3,69.3,71.8,60.0,61.5,80.4,0,0,0,0,22,0.0,0,0,0,118.8,2,0,0,6,3,10,20,4,0,0,4,0,7,16,1,9,0,0,2,0,2,0,0,43,30,21.5
Jordan Howden,83305,S,NO,14,5,0,77.8,0,0,20,1,1,66.6,73.2,15.7,52.1,85.5,72.5,0,2,0,0,15,7.4,2,0,1,89.4,7,0,0,105,1,153,259,1,0,0,1,0,121,258,4,102,31,11,20,1,9,2,0,49,45,7.0
Keidron Smith,83310,S,NYJ,2,4,0,66.7,0,0,22,0,0,53.8,50.4,0.0,,60.3,49.2,0,0,0,0,18,12.5,2,0,1,92.4,2,0,0,25,1,28,70,0,0,0,0,0,33,70,0,42,10,2,10,0,3,0,0,25,4,12.5
Isaiah Stalbird,83325,LB,NO,10,3,1,33.3,0,0,20,0,0,51.0,67.2,80.2,76.8,75.5,37.4,1,3,0,0,9,33.3,3,0,0,42.4,1,2,0,42,0,38,63,20,0,0,20,0,0,43,14,11,1,4,3,0,3,6,0,9,4,9.0
