player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Thomas Harper,97325,S,DET,10,2,16.4,50.0,99.3,53.2,26.6,0,0,2,20.0,11,75.9,78.0,84.7,50.9,73.2,74.5,1,39,0.0,0,2,0,78.8,5,285,287,3,19,10,2,84,4,0.3,16.8
Nic Jones,97327,CB,NYG,4,0,21.7,66.7,100.0,7.0,4.7,0,0,1,33.3,21,53.9,47.1,72.2,,41.1,78.5,0,30,0.0,0,0,0,109.7,2,16,16,0,2,3,0,39,3,2.8,19.5
Cameron Mitchell,97340,CB,IND,10,0,10.5,56.5,99.4,12.5,7.1,1,1,4,17.4,14,58.4,58.4,83.4,57.7,56.8,44.3,0,23,23.1,3,4,2,109.1,13,175,176,6,10,23,4,112,39,0.7,8.6
Dadrion Taylor-Demerson,97348,S,ARZ,12,4,6.6,66.7,98.7,17.4,11.6,0,0,3,12.5,1,57.3,59.9,83.6,51.6,66.4,74.8,2,22,10.3,3,2,0,52.6,16,299,303,4,22,24,0,171,98,0.6,10.7
Christian Roland-Wallace,97374,S,KC,10,5,5.4,75.0,96.2,13.1,9.8,0,1,1,8.3,16,75.0,78.8,80.7,68.2,72.4,90.1,1,15,0.0,0,1,0,83.0,9,125,130,6,15,12,1,73,35,0.6,8.1
Jarrian Jones,97486,CB,JAX,14,4,7.5,58.5,97.7,11.5,6.7,1,2,8,15.1,15,78.7,78.4,84.5,58.4,68.8,84.2,3,54,2.7,1,7,7,62.2,31,383,392,10,32,53,2,285,154,0.8,9.2
Dean Clark,97495,S,NYJ,4,1,6.5,66.7,100.0,26.0,17.3,0,0,0,0.0,22,61.5,54.2,81.4,,33.3,35.5,0,13,0.0,0,0,0,118.8,4,111,111,2,6,6,1,31,25,0.3,7.8
Nick Cross,97514,S,IND,17,4,7.6,72.5,91.4,12.1,8.8,1,0,5,7.2,14,50.4,59.8,68.8,69.0,72.0,60.5,1,53,14.1,9,3,2,110.0,50,641,701,14,51,69,4,567,240,0.9,11.3
Dax Hill,97519,CB,CIN,17,8,7.5,67.1,96.6,9.8,6.6,2,0,8,9.4,7,67.7,64.9,46.5,50.4,60.0,63.0,1,40,7.9,5,6,6,95.0,57,590,611,12,50,85,4,536,290,1.0,9.4
Drake Thomas,97525,LB,SEA,17,5,3.4,64.5,85.0,10.0,6.4,0,0,7,11.3,29,66.1,73.0,82.4,66.6,77.0,46.8,1,27,18.2,8,6,1,72.8,40,424,499,11,31,62,0,352,250,0.9,8.8
Quincy Riley,97539,CB,NO,15,4,14.8,58.8,100.0,12.2,7.2,1,1,10,19.6,20,61.1,61.1,54.1,,61.4,51.6,1,37,13.3,4,8,3,96.4,30,385,385,8,22,51,3,415,121,1.1,13.8
Tyrique Stevenson,97562,CB,CHI,13,3,11.1,62.7,100.0,9.0,5.6,3,0,8,13.6,6,59.6,64.4,52.8,,85.4,58.4,1,57,12.1,4,8,5,93.8,37,356,356,6,26,59,1,578,216,1.7,15.6
Josh Wallace,97676,S,LA,9,0,6.4,71.4,95.9,12.0,8.6,0,0,1,4.8,26,67.8,71.8,81.2,88.3,70.0,59.2,1,52,13.3,2,1,3,92.6,15,188,196,7,13,21,1,176,98,1.0,11.7
Alex Austin,97683,CB,NE,4,0,16.9,76.9,97.9,8.6,6.6,0,0,2,15.4,19,38.5,42.6,80.8,57.4,64.3,69.3,0,47,0.0,0,1,2,142.5,10,92,94,1,8,13,1,158,26,1.8,15.8
Dorian Williams,97694,LB,BUF,15,3,4.0,70.6,74.4,13.1,9.2,0,0,1,5.9,4,45.6,54.6,51.3,63.4,62.7,45.4,0,19,28.6,4,0,1,123.9,12,163,219,3,7,17,2,97,57,0.6,8.1
Ronnie Hickman Jr.,97702,S,CLV,17,14,6.5,58.8,98.5,27.6,16.2,0,1,6,17.6,8,72.7,69.8,86.4,51.4,61.7,70.4,2,36,4.0,2,4,0,68.5,20,584,593,5,34,34,1,262,174,0.5,13.1
Storm Duck,97705,CB,MIA,2,1,18.7,66.7,100.0,6.5,4.3,0,0,1,16.7,17,38.4,42.2,76.8,,64.4,75.4,0,27,0.0,0,0,0,147.2,4,27,27,0,1,6,1,72,9,2.8,18.0
Omar Speights,97723,LB,LA,16,5,5.1,75.7,93.3,11.1,8.4,0,0,2,5.4,26,63.8,70.0,55.2,73.3,71.4,64.8,0,27,17.5,7,1,1,90.8,28,334,358,8,28,37,0,228,108,0.7,8.1
Mohamed Kamara,97731,ED,TB,1,0,,,33.3,,,0,0,0,,30,60.0,69.1,70.2,68.4,60.0,,0,,,0,0,0,0.0,0,1,3,0,0,0,0,0,0,0.0,
Javon Solomon,97821,ED,BUF,15,0,,,6.3,,,0,0,0,,4,65.2,42.7,14.7,51.8,46.5,78.3,0,,0.0,0,0,2,0.0,0,8,127,2,1,0,0,0,0,0.0,
Jack Kiser,97889,LB,JAX,4,3,4.2,100.0,94.4,6.0,6.0,0,0,0,0.0,15,44.3,49.7,73.1,57.3,73.9,44.9,0,16,20.0,2,0,0,152.9,5,34,36,1,5,5,1,56,35,1.9,11.2
Tyler Nubin,97895,S,NYG,13,4,4.9,77.1,94.8,16.3,12.6,0,0,1,2.9,21,60.0,57.2,85.8,67.2,47.1,48.1,0,87,12.8,5,1,1,119.5,27,475,501,11,30,35,2,286,188,0.6,10.6
Adetomiwa Adebawore,97934,DI,IND,17,1,,,0.8,,,0,0,0,,14,59.8,49.8,46.8,66.5,36.4,34.6,0,,63.6,7,0,3,0.0,0,3,362,5,3,0,0,0,0,0.0,
Levelle Bailey,97956,LB,DEN,1,0,,,81.8,,,0,0,0,,10,64.8,63.9,71.8,56.9,,,0,,,0,0,0,0.0,0,9,11,0,0,0,0,0,0,0.0,
Derick Hall,98130,ED,SEA,14,0,12.0,100.0,6.2,16.0,16.0,1,0,1,100.0,29,29.7,73.3,69.6,72.6,73.9,43.1,0,17,77.8,7,1,2,118.8,1,17,276,3,2,1,0,17,5,1.1,17.0
Jordan Magee,98155,LB,WAS,15,2,3.1,90.9,89.7,7.4,6.7,0,0,0,0.0,32,53.1,55.0,79.3,58.5,57.3,57.2,0,57,12.0,3,0,0,121.6,20,156,174,11,20,22,1,210,141,1.4,10.5
Derek Stingley Jr.,98253,CB,HST,17,1,13.1,52.3,99.5,16.1,8.4,1,2,10,15.4,13,75.8,69.1,42.3,53.4,35.9,28.9,4,56,13.3,4,9,8,67.4,34,591,594,5,25,65,3,499,131,0.9,14.7
Colby Wooden,98312,DI,GB,17,1,,,0.7,,,0,0,0,,12,59.4,49.9,76.1,58.3,46.2,34.2,0,,25.0,2,0,1,0.0,0,2,292,5,5,0,0,0,0,0.0,
