player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
DJ Turner II,101376,CB,CIN,17,7,13.3,46.8,100.0,19.1,8.9,1,2,16,25.8,7,78.1,73.3,88.9,,37.8,60.5,2,39,9.1,3,13,3,77.3,29,580,580,2,23,62,4,419,102,0.8,14.4
Deonte Banks,101384,CB,NYG,14,0,11.8,81.3,99.6,10.0,8.1,3,0,4,12.5,21,45.0,42.4,46.2,67.3,36.7,52.3,0,36,5.0,1,1,7,149.7,26,282,283,5,19,32,4,334,58,1.3,12.8
Devon Witherspoon,101388,CB,SEA,12,8,5.9,78.0,95.5,9.3,7.2,0,0,5,8.5,29,84.6,89.9,85.4,91.8,86.7,76.9,1,48,7.8,4,4,2,99.8,46,447,468,20,39,59,2,409,218,1.0,8.9
Dane Belton,101398,S,NYG,17,12,7.9,68.4,96.1,15.8,10.8,0,0,4,10.5,21,59.9,62.5,56.5,52.5,71.1,90.6,1,51,2.0,1,4,3,102.5,26,444,462,9,36,38,3,256,115,0.6,9.8
David Ojabo,101420,ED,BLT,13,1,,,2.2,,,0,0,0,,3,63.6,53.7,83.9,52.4,54.5,54.6,0,,0.0,0,0,0,0.0,0,2,92,0,1,0,0,0,0,0.0,
Mike Morris,101421,DI,SEA,12,0,,,7.3,,,0,0,0,,29,53.9,61.7,47.3,60.7,65.3,36.2,0,,100.0,1,0,1,0.0,0,7,96,0,0,0,0,0,0,0.0,
Sam Okuayinonu,101425,ED,SF,15,0,2.0,0.0,3.7,,13.0,0,0,0,0.0,28,80.3,61.1,79.6,58.9,51.2,54.0,0,,44.4,4,0,1,39.6,0,13,356,8,5,1,0,0,0,0.0,
Leo Chenal,101463,LB,KC,14,3,3.9,85.7,54.6,10.0,8.6,0,0,0,0.0,16,72.6,75.3,85.0,57.2,76.4,71.9,1,47,7.1,1,0,0,98.8,12,130,238,9,10,14,1,128,104,1.1,10.7
Maema Njongmeta,101465,LB,CAR,1,0,,,75.0,,,0,0,0,,5,44.1,34.9,67.1,60.0,60.0,,0,,,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,
Tommy Eichenberg,101488,LB,LV,8,1,2.0,100.0,88.2,8.8,8.8,0,0,0,0.0,23,53.8,58.2,79.7,64.3,62.1,82.8,0,9,0.0,0,0,0,89.2,5,45,51,1,5,5,0,27,17,0.6,5.4
Jack Campbell,101515,LB,DET,17,8,4.6,73.8,88.6,12.6,9.3,0,1,2,3.3,11,71.7,90.3,68.6,75.7,93.0,81.5,0,42,14.5,8,2,2,112.2,45,608,686,24,39,61,4,392,287,0.7,8.7
Keeanu Benton,101536,DI,PIT,17,0,,,0.9,,,0,0,0,,25,60.4,58.7,78.8,72.0,44.2,39.7,0,,50.0,1,0,1,0.0,0,4,448,6,1,0,0,0,0,0.0,
Jaquan Brisker,101665,S,CHI,17,4,9.3,75.6,90.1,17.3,13.1,1,0,5,12.2,6,51.2,60.5,36.0,73.2,73.7,79.1,1,45,7.0,3,4,4,118.1,31,572,635,9,36,41,4,302,103,0.6,9.7
Alijah Huzzie,101807,CB,HST,1,0,1.0,100.0,92.3,6.0,6.0,0,0,0,0.0,13,91.1,90.6,73.0,57.2,74.1,79.0,1,4,0.0,0,0,0,43.8,2,12,13,2,2,2,0,8,6,0.7,4.0
Jared Verse,101912,ED,LA,17,3,7.5,100.0,3.1,8.0,8.0,0,0,0,0.0,26,91.0,83.9,79.4,82.2,62.0,42.4,0,13,23.1,3,0,1,118.8,2,17,540,11,7,2,0,26,11,1.6,13.0
Xavier Smith,102585,WR,LA,1,0,,,100.0,,,1,0,0,,26,71.0,72.2,60.0,,,71.4,0,,0.0,0,0,3,0.0,0,1,1,0,1,0,0,0,0,0.0,
Kyle Hamilton,102684,S,BLT,16,14,6.6,71.2,89.5,15.2,10.8,1,1,8,15.4,3,84.3,86.3,21.1,91.5,78.8,76.7,0,42,3.4,2,4,6,112.6,37,590,659,12,43,52,3,399,249,0.7,10.8
Isaiah Foskey,102728,ED,CIN,2,0,,,4.5,,,0,0,0,,7,48.8,56.0,76.4,76.5,45.1,24.0,0,,100.0,2,0,0,0.0,0,1,22,0,0,0,0,0,0,0.0,
JD Bertrand,102787,LB,ATL,5,1,4.8,76.5,94.5,6.2,4.8,0,0,2,11.8,2,34.9,41.7,79.2,74.6,53.4,64.1,0,18,11.1,1,1,0,138.4,13,86,91,0,7,17,2,136,101,1.7,10.5
Marist Liufau,102789,LB,DAL,17,0,4.8,93.3,77.9,4.4,4.1,0,0,0,0.0,9,28.5,40.7,24.0,56.5,68.9,28.5,0,36,38.5,5,0,1,135.3,14,67,86,1,8,15,1,167,112,2.7,11.9
Cam Hart,102955,CB,LAC,16,2,13.0,60.7,99.3,10.4,6.3,0,0,10,16.4,27,61.0,60.8,86.3,76.8,52.7,49.0,1,45,10.8,4,10,3,104.9,37,414,417,5,31,61,4,545,147,1.4,14.7
Jarius Monroe,103580,S,NYJ,2,0,,,100.0,,,0,0,0,,22,45.0,44.5,99.9,,60.0,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Kei'Trel Clark,104163,CB,ARZ,10,0,13.9,75.0,100.0,9.4,7.1,0,0,2,12.5,1,54.1,56.1,82.2,,63.9,39.1,0,38,15.4,2,2,1,131.5,12,121,121,2,11,16,1,177,33,1.6,14.8
PJ Jules,104232,S,CIN,1,0,,,100.0,,,0,0,0,,7,61.0,73.3,66.1,,69.8,76.4,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Branson Combs,105001,LB,JAX,4,0,5.5,100.0,82.6,9.5,9.5,0,0,0,0.0,15,59.0,54.0,73.4,52.8,54.7,71.4,0,8,,0,0,0,93.8,2,19,23,0,0,2,0,13,2,0.7,6.5
Chris Edmonds,105737,S,CLV,1,0,,,100.0,,,0,0,0,,8,60.0,63.7,64.6,,60.6,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jalyx Hunt,105989,ED,PHI,17,1,0.8,37.5,15.6,20.0,7.5,0,1,0,0.0,24,79.6,68.6,76.5,65.9,59.0,53.6,3,8,41.7,5,0,2,6.3,3,64,410,10,6,8,0,18,17,0.3,6.0
Brandon Codrington,106248,CB,BUF,1,0,,,100.0,,,0,0,0,,4,66.0,66.3,70.9,,60.0,,0,,,0,0,0,0.0,0,8,8,0,0,0,0,0,0,0.0,
Truman Jones,106527,ED,TEN,9,0,,,3.0,,,0,0,0,,31,62.2,58.2,81.2,54.9,60.2,64.1,0,,50.0,1,0,0,0.0,0,2,67,1,1,0,0,0,0,0.0,
Dom Jones,106697,CB,CLV,5,0,10.4,71.4,100.0,4.4,3.1,0,0,0,0.0,8,45.8,51.2,76.4,,68.6,77.6,0,39,0.0,0,0,0,136.3,5,25,25,0,2,7,2,59,6,2.7,11.8
Joe Andreessen,108177,LB,BUF,8,1,3.4,80.0,89.1,9.8,7.8,0,0,0,0.0,4,52.4,68.1,77.4,75.2,74.6,34.1,0,13,33.3,2,0,0,81.7,4,41,46,0,3,5,0,18,5,0.5,4.5
Rodney Thomas II,108389,S,IND,17,2,6.0,80.0,97.7,30.3,24.2,0,0,0,0.0,14,69.5,73.5,82.8,64.7,69.0,88.9,0,22,0.0,0,0,0,100.8,4,126,129,1,5,5,0,41,22,0.3,10.3
Michael Hoecht,108840,ED,BUF,2,0,,,4.3,,,0,0,0,,4,62.2,59.2,3.2,71.6,43.2,39.2,0,,0.0,0,0,1,0.0,0,2,46,2,1,0,0,0,0,0.0,
Dee Alford,110542,CB,ATL,15,1,9.8,65.4,94.2,6.8,4.5,1,0,9,11.5,2,56.5,52.9,84.7,60.4,35.0,54.1,3,58,10.0,5,3,5,77.1,51,373,396,18,44,78,2,524,209,1.5,10.3
D'Anthony Bell,111578,S,CAR,6,0,-0.8,75.0,96.4,15.7,11.8,0,0,0,0.0,5,69.1,75.0,75.8,76.0,68.4,65.0,0,12,0.0,0,0,0,90.6,3,54,56,4,5,4,0,25,21,0.5,8.3
Darrell Luter Jr.,121428,CB,SF,7,1,11.1,62.5,100.0,17.1,10.7,2,0,2,12.5,28,55.4,60.7,83.9,,82.3,58.1,0,38,12.5,2,1,3,112.0,10,181,181,1,13,16,1,142,17,0.8,14.2
Natrone Brooks,121449,CB,ATL,5,0,13.9,66.7,100.0,8.3,5.6,0,0,2,22.2,2,54.8,58.7,77.3,,73.3,50.2,0,36,25.0,1,2,0,146.5,6,53,53,0,3,9,1,112,18,2.2,18.7
Mac McWilliams,121497,CB,PHI,2,0,11.5,50.0,100.0,13.0,6.5,0,0,0,0.0,24,29.9,36.9,73.4,,66.9,23.2,0,2,100.0,1,0,1,95.8,1,16,16,0,0,2,1,2,0,0.2,2.0
Cam'Ron Jackson,121769,DI,CAR,8,0,,,7.4,,,0,0,0,,5,54.7,45.5,80.4,58.0,45.4,28.4,0,,,0,0,0,0.0,0,2,27,0,0,0,0,0,0,0.0,
Upton Stout,121906,CB,SF,16,10,5.7,76.3,90.8,6.2,4.8,1,0,6,7.9,28,57.5,61.5,54.1,71.5,70.5,69.8,0,34,10.8,7,5,8,101.5,58,385,424,20,48,76,1,574,285,1.6,9.9
Zion Childress,121963,S,DAL,1,0,,,100.0,,,0,0,0,,9,60.8,61.4,68.4,,60.0,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Tyrice Knight,122025,LB,SEA,10,6,2.5,96.0,89.3,6.5,6.2,0,1,0,0.0,29,61.4,76.3,82.6,94.2,68.9,54.7,0,65,16.7,5,0,0,106.7,24,167,187,11,19,25,0,240,181,1.5,10.0
Bryan Bresee,122142,DI,NO,15,0,,,0.5,,,0,0,0,,20,63.5,52.9,55.9,62.5,46.2,27.3,0,,80.0,4,0,3,0.0,0,2,373,2,1,0,0,0,0,0.0,
R.J. Mickens,122153,S,LAC,10,3,6.8,44.4,99.5,52.5,23.3,0,1,0,0.0,27,73.4,70.0,84.9,59.1,50.5,55.8,2,11,7.1,1,0,0,12.5,4,219,220,1,10,9,0,28,12,0.1,7.0
Myles Murphy,122154,ED,CIN,17,1,6.0,100.0,2.7,11.0,11.0,1,0,0,0.0,7,53.8,64.1,57.3,63.6,64.6,57.1,0,9,15.4,2,0,3,104.2,1,11,403,9,10,1,0,9,3,0.8,9.0
Trenton Simpson,122157,LB,BLT,16,5,4.6,80.0,80.6,8.0,6.4,1,0,1,3.3,3,57.9,70.7,84.1,67.0,79.6,66.7,0,30,16.1,5,1,1,86.7,24,200,248,11,21,30,0,144,88,0.7,6.0
Elijah Roberts,122222,DI,TB,17,0,,,2.4,,,1,0,0,,30,57.9,50.5,58.6,63.0,41.4,75.3,0,,0.0,0,0,2,0.0,0,8,334,3,1,0,0,0,0,0.0,
Aeneas Peebles,122379,DI,BLT,6,0,,,3.6,,,0,0,0,,3,61.3,59.6,78.9,62.3,52.3,70.2,0,,0.0,0,0,0,0.0,0,2,55,0,1,0,0,0,0,0.0,
Kyle Kennard,122483,ED,LAC,5,0,2.0,100.0,12.0,2.0,2.0,0,0,0,0.0,27,29.9,47.3,80.2,53.2,60.1,25.9,0,11,50.0,1,0,0,101.4,3,6,50,0,1,3,0,25,19,4.2,8.3
Xavier Hutchinson,122518,WR,HST,1,0,,,100.0,,,1,0,0,,13,60.7,70.6,89.4,,,,0,,,0,0,3,0.0,0,1,1,0,0,0,0,0,0,0.0,
T.J. Tampa,122537,CB,BLT,13,0,12.2,61.5,100.0,10.5,6.5,0,0,2,15.4,3,72.8,65.1,82.0,,29.6,65.8,1,24,0.0,0,1,1,83.3,8,90,90,2,7,13,2,70,17,0.8,8.8
Trey Amos,122628,CB,WAS,10,2,11.5,67.6,100.0,12.3,8.3,1,0,6,17.6,32,58.8,55.8,84.7,,39.7,44.4,0,60,17.9,5,4,2,108.1,23,308,308,6,21,34,1,325,142,1.2,14.1
Yaya Diaby,122705,ED,TB,17,0,2.5,90.0,12.9,7.2,6.5,0,0,0,0.0,30,42.8,72.1,58.2,76.9,67.2,44.6,0,20,27.8,5,0,3,97.1,9,67,520,17,13,10,0,73,62,1.1,8.1
Greedy Vance Jr.,122729,CB,LV,6,0,8.4,77.8,94.5,9.4,7.3,1,0,0,0.0,23,55.6,55.8,0.0,63.0,72.8,57.8,0,17,20.0,1,0,1,98.6,7,69,73,1,4,9,0,69,26,1.0,9.9
Cedric Gray,122835,LB,TEN,16,12,3.6,89.4,88.7,7.5,6.7,1,0,2,3.0,31,59.0,78.9,6.0,55.4,92.7,75.2,0,31,11.3,8,2,5,111.2,59,472,532,22,51,66,2,546,354,1.2,9.3
Xavier Watts,122914,S,ATL,17,8,10.4,70.0,99.4,29.7,20.8,0,0,5,16.7,2,72.7,72.2,88.3,52.0,68.7,76.8,5,50,4.1,2,4,1,101.5,21,662,666,6,39,30,3,341,152,0.5,16.2
Korie Black,122958,CB,NYG,6,3,15.6,83.3,100.0,10.4,8.7,0,0,1,8.3,21,46.4,51.0,79.8,,66.8,86.0,0,40,0.0,0,1,1,158.3,10,109,109,2,8,12,3,224,78,2.2,22.4
Marlowe Wax,123057,LB,LAC,1,0,,,81.8,,,0,0,0,,27,60.3,69.1,74.3,53.5,76.0,65.6,0,,0.0,0,0,0,0.0,0,18,22,1,2,0,0,0,0,0.0,
Jahdae Barron,123105,CB,DEN,17,4,11.1,66.7,96.4,8.6,5.7,1,1,3,7.7,10,47.8,51.5,82.5,47.6,73.3,52.9,1,41,19.4,6,3,3,93.6,26,239,248,8,21,39,2,277,152,1.2,10.7
Vernon Broughton,123107,DI,NO,1,2,,,7.1,,,0,0,0,,20,59.5,60.1,75.9,51.5,67.9,70.1,0,,0.0,0,0,0,0.0,0,1,14,0,0,0,0,0,0,0.0,
Alfred Collins,123110,DI,SF,16,1,,,0.7,,,0,0,0,,28,56.3,42.2,86.6,60.6,30.6,36.5,0,,75.0,3,0,0,0.0,0,2,293,1,0,0,0,0,0,0.0,
Kitan Crawford,123111,S,ARZ,12,1,6.8,75.0,97.7,26.7,20.0,0,0,2,50.0,1,71.8,70.8,79.6,56.5,58.1,69.9,0,9,0.0,0,1,0,120.8,3,85,87,2,5,4,1,16,6,0.2,5.3
Jaylan Ford,123114,LB,NO,1,1,4.0,100.0,100.0,7.0,7.0,0,0,0,0.0,20,79.1,82.9,69.9,,,72.5,0,4,0.0,0,0,0,83.3,1,7,7,1,1,1,0,4,0,0.6,4.0
Kobee Minor,123148,CB,NE,2,0,,,100.0,,,0,0,0,,19,64.0,63.9,82.0,,60.3,31.2,0,,,0,0,0,0.0,0,24,24,0,0,0,0,0,0,0.0,
Keonta Jenkins,123352,LB,BUF,1,0,1.0,50.0,100.0,8.0,4.0,0,0,0,0.0,4,53.0,60.8,73.3,,66.4,80.1,0,10,0.0,0,0,0,64.6,1,9,9,0,2,2,0,10,6,1.3,10.0
Dorian Strong,123366,CB,BUF,3,0,6.6,80.0,98.0,11.8,9.4,0,0,0,0.0,4,57.2,62.9,79.1,72.0,69.4,80.4,0,36,0.0,0,0,1,111.7,4,48,49,3,5,5,0,54,47,1.1,13.5
Caelen Carson,123377,CB,DAL,6,0,12.7,64.7,100.0,13.2,8.5,0,0,1,5.9,9,54.2,56.1,11.3,,76.3,74.3,0,58,8.3,1,1,2,102.1,11,155,155,4,11,17,0,188,42,1.3,17.1
Daryl Porter Jr.,123429,CB,PIT,1,0,,,100.0,,,0,0,0,,25,60.0,60.5,64.5,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
LaJohntay Wester,123616,WR,BLT,1,0,,,100.0,,,0,0,0,,3,60.0,61.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Corey Thornton,123763,CB,CAR,6,1,11.4,50.0,96.3,10.6,5.3,1,1,3,21.4,5,67.6,68.5,79.2,72.8,60.3,70.8,0,22,0.0,0,2,1,64.3,7,78,81,3,8,14,0,69,40,0.9,9.9
Will Anderson Jr.,123903,ED,HST,17,0,-8.0,100.0,0.2,1.0,1.0,0,0,0,0.0,13,76.3,92.6,31.8,92.0,79.8,51.8,0,-10,35.7,5,0,6,79.2,1,1,477,17,9,1,0,-10,-2,-10.0,-10.0
Brian Branch,123907,S,DET,12,7,11.9,56.8,96.0,19.2,10.9,2,1,7,18.9,11,74.3,77.8,0.0,83.0,82.6,88.1,0,41,5.1,2,6,9,119.3,21,436,454,10,30,37,4,301,73,0.7,14.3
Chris Braswell,123908,ED,TB,17,0,1.6,71.4,20.3,6.6,4.7,1,0,0,0.0,30,50.4,57.6,5.8,69.0,59.5,72.2,0,18,0.0,0,0,4,93.2,5,35,172,4,5,7,0,53,46,1.6,10.6
Malachi Moore,123928,S,NYJ,17,3,8.9,64.5,97.2,24.3,15.6,1,0,2,6.5,22,54.0,58.9,83.9,40.2,70.1,65.9,0,40,8.7,4,2,2,116.1,20,514,529,6,39,31,2,288,179,0.6,14.4
Quandarrius Robinson,123932,ED,DEN,6,0,,,12.9,,,0,0,0,,10,58.5,64.3,85.2,60.4,63.8,54.1,0,,100.0,1,0,0,0.0,0,11,85,1,0,0,0,0,0,0.0,
Warren Brinson,124013,DI,GB,11,0,,,3.2,,,0,0,0,,12,53.1,42.8,37.0,66.5,36.5,36.9,0,,0.0,0,0,2,0.0,0,5,157,0,1,0,0,0,0,0.0,
Kelee Ringo,124035,CB,PHI,9,0,16.0,54.5,100.0,14.9,8.1,0,0,4,18.2,24,49.2,55.3,83.7,,80.8,56.2,0,34,15.8,3,1,7,82.8,12,197,197,1,16,22,0,186,41,1.0,15.5
Dru Phillips,124075,CB,NYG,17,1,6.6,73.7,96.7,8.2,6.0,1,0,8,10.5,21,65.4,63.0,31.6,57.3,58.0,56.6,2,33,10.7,6,8,10,95.4,56,495,512,24,49,76,3,543,278,1.2,9.7
Dwight McGlothern,124103,CB,MIN,3,0,17.0,0.0,100.0,,16.0,0,0,0,0.0,18,44.9,50.4,75.4,,69.1,,0,,,0,0,1,39.6,0,17,17,0,0,1,0,0,0,0.0,
BJ Ojulari,124105,ED,ARZ,8,0,1.3,100.0,23.4,5.5,5.5,0,0,0,0.0,1,41.6,49.0,51.8,51.6,59.1,54.5,0,17,50.0,1,0,1,110.4,4,22,94,1,1,4,0,42,37,1.9,10.5
Cedric Johnson,124136,ED,CIN,9,0,2.5,100.0,3.4,2.5,2.5,0,0,0,0.0,7,49.6,46.1,55.0,47.7,59.8,29.2,0,30,80.0,4,0,1,158.3,2,5,147,2,1,2,1,40,35,8.0,20.0
Austin Keys,124137,LB,ARZ,1,0,,,40.0,,,0,0,0,,1,61.0,83.8,71.5,87.9,58.1,71.4,0,,,0,0,0,0.0,0,2,5,1,0,0,0,0,0,0.0,
Deane Leonard,124140,CB,LAC,3,0,,,100.0,,,0,0,0,,27,69.0,69.6,74.1,,64.1,72.8,0,,0.0,0,0,0,0.0,0,19,19,0,1,0,0,0,0,0.0,
Tavius Robinson,124147,ED,BLT,10,1,-7.0,100.0,6.1,16.0,16.0,0,0,0,0.0,3,71.4,50.4,73.3,54.4,42.4,73.6,0,8,22.2,2,0,1,100.0,1,17,278,6,6,1,0,8,15,0.5,8.0
Emmanuel Forbes,124166,CB,LA,17,4,12.3,56.6,99.4,11.4,6.5,1,0,15,19.7,26,56.1,53.8,37.7,53.0,49.6,26.8,3,75,24.4,10,13,5,99.5,43,520,523,6,27,76,7,657,202,1.3,15.3
Decamerion Richardson,124183,CB,LV,1,0,11.0,50.0,100.0,6.0,3.0,0,0,0,0.0,23,77.5,77.0,72.4,,61.0,72.8,0,6,0.0,0,0,0,56.3,1,6,6,1,1,2,0,6,5,1.0,6.0
Tyrus Wheat,124191,ED,DET,10,0,,,2.1,,,0,0,0,,11,60.0,82.3,81.5,80.5,62.4,73.1,0,,,0,0,0,0.0,0,1,48,2,0,0,0,0,0,0.0,
Kris Abrams-Draine,124194,CB,DEN,8,0,8.7,75.0,100.0,8.3,6.2,0,0,1,4.2,10,55.2,57.2,83.0,,69.3,65.0,0,18,9.5,2,0,0,95.8,18,160,160,4,19,24,0,180,62,1.2,10.0
Jaylon Carlies,124196,LB,IND,1,0,,,50.0,,,0,0,0,,14,60.0,58.4,66.3,59.4,,,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Jordan Burch,124227,ED,ARZ,17,1,11.0,100.0,10.3,13.0,13.0,0,0,0,0.0,1,52.7,49.0,72.4,51.0,51.4,71.9,0,33,0.0,0,0,1,118.8,2,27,263,1,0,2,0,40,18,1.5,20.0
Tonka Hemingway,124238,DI,LV,9,0,,,0.9,,,0,1,0,,23,58.5,37.6,82.7,57.5,29.7,29.5,0,,100.0,1,0,0,0.0,0,1,117,4,0,0,0,0,0,0.0,
Tyler Baron,124268,ED,NYJ,5,0,,,2.0,,,0,0,0,,22,53.7,53.7,83.5,56.7,55.6,34.1,0,,0.0,0,0,0,0.0,0,1,49,1,1,0,0,0,0,0.0,
Edgerrin Cooper,124311,LB,GB,16,10,3.0,82.7,89.3,8.4,7.0,0,0,5,6.7,12,76.5,75.8,85.3,66.7,69.1,55.8,0,44,13.6,9,5,0,94.1,62,553,619,22,47,75,0,493,350,0.9,8.0
Fadil Diggs,124314,ED,NO,4,0,3.0,100.0,26.3,5.0,5.0,0,0,0,0.0,20,43.1,29.1,0.0,51.2,43.6,,0,9,,0,0,2,104.2,1,5,19,0,0,1,0,9,6,1.8,9.0
McKinnley Jackson,124324,DI,CIN,9,0,,,1.4,,,0,0,0,,7,60.0,62.1,81.6,55.4,63.8,72.5,0,,,0,0,0,0.0,0,1,69,0,0,0,0,0,0,0.0,
Antonio Johnson,124326,S,JAX,16,6,7.8,67.7,95.8,19.9,13.5,0,0,3,9.7,15,88.3,87.3,85.4,75.5,72.0,84.8,5,48,2.6,1,3,1,55.5,21,453,473,13,32,31,1,192,69,0.5,9.1
Jaylon Jones,124328,CB,IND,9,1,9.3,57.7,98.4,8.0,4.6,1,0,4,15.4,14,37.6,42.2,11.1,53.8,74.3,56.9,0,37,18.2,2,2,3,104.0,15,124,126,0,8,26,2,176,59,1.5,11.7
Gervon Dexter Sr.,124374,DI,CHI,17,1,,,0.8,,,1,0,0,,6,61.4,57.6,54.7,72.7,43.9,29.7,0,,0.0,0,0,3,0.0,0,3,398,8,5,0,0,0,0,0.0,
Princely Umanmielen,124398,ED,CAR,16,1,3.3,100.0,7.9,3.7,3.7,0,0,0,0.0,5,35.9,46.0,83.6,54.6,45.5,49.9,0,14,25.0,1,0,0,108.3,3,12,151,3,2,3,0,30,20,2.7,10.0
Jaylin Noel,125155,WR,HST,1,0,,,100.0,,,0,0,0,,13,60.7,70.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Marques Sigle,125305,S,SF,9,2,13.2,85.2,97.9,9.6,8.2,0,0,2,7.4,28,31.6,40.2,82.8,60.3,72.9,66.0,0,45,16.0,4,2,2,155.7,23,236,241,6,19,27,3,337,37,1.5,14.7
Segun Olubi,128312,LB,IND,1,0,,,100.0,,,0,0,0,,14,61.0,64.4,64.8,,61.3,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Nohl Williams,128375,CB,KC,14,3,10.4,54.3,97.1,13.5,7.3,2,1,7,20.0,16,75.6,74.5,0.0,73.9,74.8,69.5,0,53,10.7,3,4,6,83.4,19,272,280,11,22,35,1,223,90,0.9,11.7
Reuben Lowery III,129393,S,IND,3,2,3.5,83.3,95.2,7.4,6.2,0,0,0,0.0,14,32.5,34.0,75.8,56.8,60.4,83.1,0,11,0.0,0,0,0,130.6,5,40,42,0,1,6,2,35,21,0.9,7.0
Jer'Zhan Newton,129420,DI,WAS,17,1,-3.0,0.0,0.9,,2.0,0,0,0,0.0,32,63.5,47.5,54.1,66.9,36.7,78.2,0,,0.0,0,0,2,39.6,0,2,230,5,2,1,0,0,0,0.0,
Yahya Black,129460,DI,PIT,17,0,,,1.4,,,0,0,1,,25,62.4,50.2,69.1,53.0,50.5,36.3,0,,50.0,2,1,1,0.0,0,3,219,0,2,0,0,0,0,0.0,
Jay Higgins,129469,LB,BLT,1,0,2.0,100.0,75.0,3.0,3.0,0,0,0,0.0,3,44.7,45.6,70.9,59.4,64.5,75.4,0,8,0.0,0,0,0,100.0,1,3,4,0,1,1,0,8,6,2.7,8.0
Lukas Van Ness,129482,ED,GB,9,0,,,5.0,,,0,0,0,,12,72.2,75.5,59.6,68.5,72.1,80.4,0,,50.0,1,0,1,0.0,0,8,159,3,1,0,0,0,0,0.0,
Jakorian Bennett,129496,CB,PHI,5,0,9.6,63.6,100.0,7.0,4.5,0,0,3,27.3,24,29.8,34.0,77.7,,60.3,80.2,0,12,0.0,0,1,4,78.2,7,57,57,0,6,11,0,61,29,1.2,8.7
Beau Brade,129499,S,NYG,1,0,,,100.0,,,0,0,0,,21,60.0,60.0,64.4,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Ruben Hyppolite II,129516,LB,CHI,4,0,,,83.3,,,0,0,0,,6,51.3,46.2,72.9,58.1,51.8,76.2,0,,,0,0,0,0.0,0,10,12,0,0,0,0,0,0,0.0,
Tarheeb Still,129537,CB,LAC,15,3,5.8,71.7,96.5,12.0,8.6,1,0,5,9.4,27,70.1,69.3,86.6,58.8,59.8,32.5,0,49,18.2,8,4,5,95.6,38,491,509,14,33,53,1,350,244,0.8,9.2
Jaylen Harrell,129579,ED,TEN,12,3,4.7,100.0,23.0,15.7,15.7,0,0,0,0.0,31,68.4,63.5,85.8,58.6,59.9,67.0,0,8,0.0,0,0,0,97.2,3,52,226,8,7,3,0,22,8,0.5,7.3
Kris Jenkins,129584,DI,CIN,14,0,,,1.3,,,0,0,0,,7,59.8,53.4,71.8,50.0,58.6,46.4,0,,33.3,2,0,1,0.0,0,4,302,4,4,0,0,0,0,0.0,
Braiden McGregor,129586,ED,NYJ,12,0,,,2.5,,,0,0,0,,22,53.1,41.9,86.9,58.9,33.2,27.4,0,,50.0,3,0,0,0.0,0,3,118,1,3,0,0,0,0,0.0,
Danny Striggow,129668,ED,JAX,9,2,5.0,100.0,4.5,4.0,4.0,0,0,0,0.0,15,70.6,69.3,84.5,58.8,69.0,78.3,0,6,0.0,0,0,0,91.7,1,4,88,2,2,1,0,6,1,1.5,6.0
Lathan Ransom,129755,S,CAR,16,4,10.4,64.3,97.9,24.7,15.9,0,0,1,7.1,5,55.8,61.3,27.6,66.9,79.4,86.8,1,35,0.0,0,1,1,100.9,9,229,234,4,17,14,1,172,89,0.8,19.1
Cody Simon,129757,LB,ARZ,11,9,4.7,73.5,89.3,10.0,7.4,0,0,3,8.8,1,57.9,56.1,84.2,55.3,55.3,36.3,0,22,12.9,4,3,0,104.4,25,266,298,6,18,34,1,255,196,1.0,10.2
Ji'Ayir Brown,129767,S,SF,16,6,10.8,61.5,98.0,19.0,11.7,0,1,4,10.3,28,56.5,61.7,87.0,65.9,69.4,57.3,2,36,15.4,6,2,0,98.3,24,484,494,7,27,39,6,250,121,0.5,10.4
Sanoussi Kane,129820,S,TEN,4,1,11.8,75.0,100.0,14.0,10.5,0,0,0,0.0,31,39.8,42.0,81.6,,68.9,83.6,0,23,0.0,0,0,1,145.8,3,45,45,0,3,4,1,40,18,1.0,13.3
