player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Thomas Morstead,5088,P,SF,15,44,44,4.17,36.8,43.61,12.7,0,0,4,16,28,55.3,23,55,1,0,50.0,280,22,44,183.58,1619,1,1919
Bryan Anger,7072,P,DAL,17,41,41,4.47,42.63,48.63,9.5,0,0,1,13,9,68.7,14,65,1,0,63.4,246,26,41,183.4,1748,0,1994
Johnny Hekker,7252,P,TEN,17,78,78,4.36,40.26,46.74,9.6,0,0,6,21,31,64.5,28,65,6,0,48.7,366,38,78,339.95,3140,7,3646
Sam Martin,7947,P,CAR,17,56,56,4.4,40.52,47.18,13.0,0,0,7,16,5,78.0,27,68,6,0,42.9,313,24,56,246.32,2269,3,2642
Tress Way,8358,P,WAS,17,56,56,4.23,43.8,47.27,4.6,0,0,9,18,32,44.0,31,64,0,0,44.6,114,25,56,237.03,2453,4,2647
Pat O'Donnell,8826,P,ARZ,5,12,12,4.37,39.25,42.17,5.0,1,0,1,6,1,60.3,3,49,1,0,25.0,15,3,13,52.46,471,1,506
Bradley Pinion,9598,P,ATL,16,64,64,4.4,40.59,45.14,7.7,0,0,6,17,2,75.9,36,69,8,0,46.9,231,30,64,281.69,2598,3,2889
Riley Dixon,10862,P,TB,17,63,63,4.33,40.16,44.68,8.5,2,0,10,21,30,56.4,31,62,4,0,38.1,205,24,65,272.95,2530,4,2815
Rigoberto Sanchez,12130,P,IND,15,44,44,4.43,44.61,48.77,6.5,0,0,3,15,14,76.7,25,59,4,0,43.2,123,19,44,194.92,1963,3,2146
Matt Haack,12212,P,ARZ,7,25,25,4.38,43.08,51.32,13.7,0,0,4,4,1,74.8,10,65,2,0,60.0,206,15,25,109.38,1077,0,1283
Cameron Johnston,12255,P,NYG,4,11,11,4.26,32.36,44.55,19.1,0,0,0,3,21,54.8,2,49,1,0,63.6,134,7,11,46.86,356,0,490
Corey Bojorquez,27626,P,CLV,17,91,91,4.42,37.62,45.77,12.7,2,0,8,17,8,76.5,26,67,14,0,45.1,522,41,93,401.95,3423,11,4165
Daniel Carlson,28121,K,LV,1,1,1,4.25,30.0,30.0,,0,0,0,0,23,60.0,0,30,1,0,0.0,0,0,1,4.25,30,0,30
Logan Cooke,29214,P,JAX,16,60,60,4.18,43.0,47.97,6.4,0,1,4,9,15,70.3,25,66,13,1,46.7,178,28,60,250.57,2580,6,2878
Tommy Townsend,33007,P,HST,17,72,72,4.51,41.64,47.56,9.9,0,0,10,14,13,80.2,30,73,10,0,45.8,326,33,72,325.02,2998,5,3424
Jake Bailey,33963,P,MIA,17,63,63,4.49,42.63,47.7,10.4,0,0,11,19,17,75.1,24,64,5,0,39.7,259,25,63,282.56,2686,3,3005
Jack Fox,34735,P,DET,16,56,56,4.34,42.79,46.59,8.2,0,0,4,27,11,64.0,29,70,2,0,37.5,173,21,56,243.13,2396,2,2609
Michael Dickson,35381,P,SEA,16,52,52,4.56,42.17,49.0,15.5,0,0,7,17,29,89.9,22,60,6,0,36.5,295,19,52,237.0,2193,3,2548
AJ Cole,36038,P,LV,17,71,71,4.16,40.83,47.59,12.1,2,0,4,13,23,72.2,25,64,17,1,46.5,400,33,73,295.08,2899,4,3379
JK Scott,38809,P,LAC,16,60,60,4.8,41.43,47.85,14.5,0,0,7,23,27,88.1,24,60,5,0,35.0,305,21,60,288.19,2486,4,2871
Corliss Waitman,39620,P,PIT,17,62,62,4.54,41.56,45.35,7.0,0,0,9,22,25,69.9,30,64,3,0,40.3,175,25,62,281.54,2577,3,2812
Mitch Wishnowsky,44663,P,BUF,11,38,38,4.44,41.95,45.34,6.3,0,0,5,15,4,71.2,19,62,4,0,28.9,69,11,38,168.86,1594,3,1723
Braden Mann,44664,P,PHI,17,72,72,4.33,42.79,49.88,10.6,0,0,7,12,24,82.3,21,70,12,0,45.8,350,33,72,311.54,3081,8,3591
Blake Gillikin,45045,P,ARZ,5,22,22,4.39,44.82,51.73,10.2,0,0,1,7,1,68.7,9,63,1,0,50.0,112,11,22,96.65,986,2,1138
Daniel Whelan,57639,P,GB,14,49,49,4.57,43.9,51.63,10.4,0,0,3,12,12,90.4,21,72,5,0,42.9,219,21,49,223.72,2151,8,2530
Jordan Stout,57649,P,BLT,17,53,53,4.14,44.87,50.13,6.9,0,0,11,6,3,53.9,26,74,7,0,43.4,159,23,53,219.55,2378,6,2657
Bryce Baringer,60274,P,NE,17,51,51,4.41,40.61,47.37,12.0,0,0,4,15,19,63.0,22,73,6,0,43.1,265,22,51,224.88,2071,4,2416
Brad Robbins,60291,P,BUF,1,4,4,4.3,38.0,39.5,6.0,0,0,2,1,4,51.2,1,48,0,0,25.0,6,1,4,17.19,152,0,158
Jamie Gillan,63303,P,NYG,16,55,55,4.19,37.96,44.45,11.5,0,0,4,17,21,57.0,17,69,6,0,43.6,277,24,55,230.56,2088,4,2445
Ryan Wright,77591,P,MIN,17,65,65,4.49,44.51,48.98,8.6,0,0,6,22,18,81.3,30,77,7,0,41.5,231,27,65,291.87,2893,3,3184
Matt Araiza,82642,P,KC,17,56,56,4.41,41.3,47.57,12.1,0,0,8,16,16,68.7,27,69,5,0,42.9,291,24,56,247.0,2313,3,2664
Austin McNamara,99363,P,NYJ,17,71,71,4.7,43.14,46.7,6.3,0,0,18,25,22,90.3,32,72,1,0,29.6,133,21,71,333.75,3063,6,3316
Ethan Evans,112090,P,LA,17,50,50,4.42,37.98,46.3,16.0,0,0,6,10,26,67.9,22,68,9,0,42.0,336,21,50,221.11,1899,4,2315
Ryan Rehkow,122074,P,CIN,17,65,65,4.39,42.8,50.45,9.9,0,0,10,12,7,67.8,30,70,4,0,43.1,277,28,65,285.63,2782,11,3279
Kai Kroeger,124245,P,NO,17,56,56,4.41,38.64,44.84,10.7,2,0,10,11,20,63.9,18,61,6,0,44.6,267,25,58,246.84,2164,4,2511
Jeremy Crawshaw,124372,P,DEN,17,75,75,4.33,41.13,47.64,10.6,0,0,3,23,10,71.7,32,76,11,0,38.7,308,29,75,324.5,3085,9,3573
Tory Taylor,129481,P,CHI,17,60,60,4.08,40.37,47.82,11.8,0,0,8,9,6,63.5,22,69,10,0,43.3,307,26,60,244.5,2422,7,2869
