team,year,wins,d_wins,ol_return,dl_return
NYG,2021,4,-2,2,2
NYJ,2021,4,2,3,3
PHI,2021,9,5,2,2
PIT,2021,9,-3,1,2
SEA,2021,7,-5,4,1
SF,2021,10,4,3,2
TB,2021,13,2,5,2
TEN,2021,12,1,4,1
WAS,2021,7,0,3,3
ARI,2022,4,-7,3,3
ATL,2022,7,0,3,2
BAL,2022,10,2,2,2
BUF,2022,13,2,3,2
CAR,2022,7,2,1,2
CHI,2022,3,-3,2,0
CIN,2022,12,2,1,2
CLE,2022,7,-1,3,1
DAL,2022,12,0,3,2
DEN,2022,5,-2,3,2
DET,2022,9,6,3,1
GB,2022,8,-5,2,2
HOU,2022,3,-1,1,2
IND,2022,4,-5,3,3
JAX,2022,9,6,2,2
KC,2022,14,2,5,3
LA,2022,5,-7,1,3
LAC,2022,10,1,2,0
LV,2022,6,-4,2,1
MIA,2022,9,0,2,3
MIN,2022,13,5,4,1
NE,2022,8,-2,3,3
NO,2022,7,-2,4,2
NYG,2022,9,5,1,2
NYJ,2022,7,3,2,3
PHI,2022,14,5,4,3
PIT,2022,9,0,3,2
SEA,2022,9,2,2,2
SF,2022,13,3,1,2
TB,2022,8,-5,2,2
TEN,2022,7,-5,2,3
WAS,2022,8,1,2,3
ARI,2023,4,0,2,0
ATL,2023,7,0,4,1
BAL,2023,13,3,4,2
BUF,2023,11,-2,3,2
CAR,2023,2,-5,3,1
CHI,2023,7,4,3,1
CIN,2023,9,-3,4,3
CLE,2023,11,4,3,1
DAL,2023,12,0,4,3
DEN,2023,8,3,2,2
DET,2023,12,3,4,3
GB,2023,9,1,3,2
HOU,2023,10,7,1,1
IND,2023,9,5,4,2
JAX,2023,9,0,3,2
KC,2023,11,-3,3,3
LA,2023,10,5,3,1
LAC,2023,5,-5,3,2
LV,2023,8,2,4,2
MIA,2023,11,2,2,4
MIN,2023,7,-6,4,2
NE,2023,4,-4,4,3
NO,2023,9,2,5,1
NYG,2023,6,-3,2,1
NYJ,2023,7,0,1,2
PHI,2023,11,-3,4,2
PIT,2023,10,1,3,2
SEA,2023,9,0,2,0
SF,2023,12,-1,4,1
TB,2023,9,1,2,2
TEN,2023,6,-1,1,3
WAS,2023,4,-4,2,3
